کدمحصول,عنوان,لایه درخت,نوع
0,ISICS,1,شاخه
01,کشاورزی، شکار و فعالیتهای خدماتی وابسته,2,شاخه
0111,کاشت غلات و سایر محصولات طبقه بندی نشده در جای دیگر,3,شاخه
0111312317,انواع دانه و میوه روغنی جهت استخراج روغن (کشاورزی),4,شاخه
0111412318,انواع میوه روغنی جهت استخراج روغن (کشاورزی),5,شاخه
0111512319,نارگیل جهت استخراج روغن (کشاورزی),6,برگ
0111512320,ورایته های روغنی زیتون جهت استخراج روغن (کشاورزی),6,برگ
0111512321,پالم جهت استخراج روغن (کشاورزی),6,برگ
0111412322,انواع دانه روغنی جهت استخراج روغن (کشاورزی),5,شاخه
0111512323,آفتابگردان جهت استخراج روغن (کشاورزی),6,برگ
0111512324,کرچک جهت استخراج روغن (کشاورزی),6,برگ
0111512325,لوبیای سویا جهت استخراج روغن (کشاورزی),6,برگ
0111512326,خردل جهت استخراج روغن (کشاورزی),6,برگ
0111512327,گلرنگ جهت استخراج روغن (کشاورزی),6,برگ
0111512328,کلزا جهت استخراج روغن (کشاورزی),6,برگ
0111512329,کنجد جهت استخراج روغن (کشاورزی),6,برگ
0111512330,پنبه دانه جهت استخراج روغن (کشاورزی),6,برگ
0111412331,انواع میوه آجیلی روغنی جهت استخراج روغن (کشاورزی),5,شاخه
0111512332,بادام جهت استخراج روغن (کشاورزی),6,برگ
0111512333,گردو جهت استخراج روغن (کشاورزی),6,برگ
0111512334,پسته جهت استخراج روغن (کشاورزی),6,برگ
0111512335,فندق جهت استخراج روغن (کشاورزی),6,برگ
0111512336,بادام زمینی جهت استخراج روغن (کشاورزی),6,برگ
0111312337,حبوبات خشک,4,شاخه
0111412338,انواع لوبیا,5,برگ
0111412339,نخود به جز نخود سبز,5,برگ
0111412340,عدس,5,برگ
0111412341,انواع لپه از حبوبات,5,برگ
0111412342,ماش,5,برگ
0111412343,باقلا خشک,5,برگ
0111312344,انواع بذر به جز بذر گل، سبزی و میوه جات,4,شاخه
0111412345,بذر چغندر,5,برگ
0111412346,انواع بذر گیاهان علوفه ای,5,شاخه
0111512347,بذر شبدر,6,برگ
0111512348,بذر یونجه,6,برگ
0111512349,بذر اسپرس,6,برگ
0111512350,بذر شلغم علوفه ای,6,برگ
0111512351,بذر ذرت علوفه ای,6,برگ
0111512352,بذر کلم پیچ علوفه ای,6,برگ
0111412374,بذر انواع قارچ خوراکی,5,برگ
0111312353,انواع ریشه و غده نشاسته ای (کشاورزی),4,شاخه
0111412354,سیب زمینی (کشاورزی),5,برگ
0111412355,سیب زمینی شیرین (کشاورزی),5,برگ
0111412356,سیب زمینی هندی (کشاورزی),5,برگ
0111412357,کاساوا (کشاورزی),5,برگ
0111312358,گیاهان ذکر نشده در جای دیگر (کشاورزی),4,شاخه
0111412359,چغندر قند (کشاورزی),5,برگ
0111412360,نیشکر (کشاورزی),5,برگ
0111412361,تنباکو و توتون (کشاورزی),5,برگ
0111412362,گیاهان مورد مصرف برای حشره کش و قارچ کش (کشاورزی),5,برگ
0111412363,کاسنی (کشاورزی),5,برگ
0111412364,رازک (کشاورزی),5,برگ
0111412365,گل جارو (کشاورزی),5,برگ
0111412366,درختان کائوچو (کشاورزی),5,برگ
0111412367,گیاهان تولید کننده مواد مورد استفاده در نساجی و بافندگی (کشاورزی),5,شاخه
0111512368,پنبه (کشاورزی),6,برگ
0111512369,کتان (کشاورزی),6,برگ
0111512370,گیاهان تولید کننده کنف و سایر انواع فیبر گیاهی (کشاورزی),6,برگ
0111512371,گیاه آگوا (کشاورزی),6,برگ
0111412373,گیاهان دارویی (کشاورزی),5,برگ
0112,کاشت سبزیجات، باغبانی به منظور تولید محصولات خاص و محصولات خزانه کاری,3,شاخه
0112312302,سبزیجات فصل سرد (کشاورزی),4,شاخه
0112412303,سبزیجات مقاوم به سرما (کشاورزی),5,شاخه
0112512304,مارچوبه (کشاورزی),6,برگ
0112512305,باقلا (کشاورزی),6,برگ
0112512306,بروکلی (کشاورزی),6,برگ
0112512307,کلم پیچ (کشاورزی),6,برگ
0112512308,کلم برگ (کشاورزی),6,برگ
0112512309,پیاز (کشاورزی),6,برگ
0112512310,سیر (کشاورزی),6,برگ
0112512311,ترب کوهی (کشاورزی),6,برگ
0112512312,کلم قمری (کشاورزی),6,برگ
0112512313,خردل (کشاورزی),6,برگ
0112512314,جعفری (کشاورزی),6,برگ
0112512315,نخود سبز (کشاورزی),6,برگ
0112512316,ترب (کشاورزی),6,برگ
0112512317,ریواس (کشاورزی),6,برگ
0112512318,اسفناج (کشاورزی),6,برگ
0112512319,شلغم (کشاورزی),6,برگ
0112412320,سبزیجات نیمه مقاوم به سرما (کشاورزی),5,شاخه
0112512321,چغندر لبویی (کشاورزی),6,برگ
0112512322,هویج (کشاورزی),6,برگ
0112512323,گل کلم (کشاورزی),6,برگ
0112512324,کرفس (کشاورزی),6,برگ
0112512325,آرتیشو (کشاورزی),6,برگ
0112512326,کاهو (کشاورزی),6,برگ
0112512327,زردک (کشاورزی),6,برگ
0112512329,شاهی (کشاورزی),6,برگ
0112312330,سبزیجات فصل گرم (کشاورزی),4,شاخه
0112412331,سبزیجات حساس به سرما (کشاورزی),5,شاخه
0112512332,لوبیا سبز (کشاورزی),6,برگ
0112512333,ذرت شیرین (کشاورزی),6,برگ
0112512334,گوجه فرنگی (کشاورزی),6,برگ
0112512335,ترخون (کشاورزی),6,برگ
0112512336,مرزنجوش (کشاورزی),6,برگ
0112412337,سبزیجات بسیار حساس به سرما (کشاورزی),5,شاخه
0112512338,فلفل(چیلی) (کشاورزی),6,برگ
0112512339,خیار (کشاورزی),6,برگ
0112512340,بادمجان (کشاورزی),6,برگ
0112512341,لوبیای لیما (کشاورزی),6,برگ
0112512342,بامیه (کشاورزی),6,برگ
0112512343,کدو حلوایی (کشاورزی),6,برگ
0112512344,کدو سبز (کشاورزی),6,برگ
0112512345,کدو تنبل (کشاورزی),6,برگ
0112512346,فلفل شیرین (کشاورزی),6,برگ
0112512347,هندوانه (کشاورزی),6,برگ
0112512348,خربزه و گرمک (کشاورزی),6,برگ
0112312349,محصولات باغبانی,4,شاخه
0112412350,بذر انواع گل,5,برگ
0112412351,بذر انواع میوه,5,برگ
0112412352,بذر انواع سبزیجات,5,برگ
0112412353,شیره گیاهان (کشاورزی),5,برگ
0112412354,قلمه فاقد ریشه گیاهان,5,برگ
0112412355,طوقه گیاهان,5,برگ
0112412356,انواع گل و غنچه گل,5,برگ
0112412358,کلوخ چمن طبیعی,5,برگ
0112312359,انواع نهال و انواع درخت زینتی,4,شاخه
0112412357,انواع نهال درختان میوه,5,برگ
0112412360,انواع درخت زینتی گلخانه ای,5,برگ
0112412361,درخت زینتی فضای باز,5,برگ
0112312362,انواع زیتون کنسروی و قارچ (کشاورزی),4,شاخه
0112412363,انواع زیتون کنسروی (کشاورزی),5,برگ
0112412364,قارچ و ترافل (دنبلان) (کشاورزی),5,برگ
0113,میوه ها، دانه های آجیلی، ادویه ها و دانه های نوشیدنی (کشاورزی),3,شاخه
0113312301,میوه جات (کشاورزی),4,شاخه
0113412302,انواع انگور (کشاورزی),5,برگ
0113412303,مرکبات (کشاورزی),5,شاخه
0113512304,پرتقال (کشاورزی),6,برگ
0113512305,نارنگی (کشاورزی),6,برگ
0113512306,گریپ فروت (کشاورزی),6,برگ
0113512307,لیمو و لیمو عمانی (کشاورزی),6,برگ
0113512308,کیوی (کشاورزی),6,برگ
0113412309,انواع میوه توتی (کشاورزی),5,شاخه
0113512310,توت سفید (کشاورزی),6,برگ
0113512311,شاتوت (کشاورزی),6,برگ
0113512312,تمشک (کشاورزی),6,برگ
0113512313,انگور فرنگی (کشاورزی),6,برگ
0113512314,توت فرنگی (کشاورزی),6,برگ
0113512315,زغال اخته (کشاورزی),6,برگ
0113412316,انواع میوه دانه دار (کشاورزی),5,شاخه
0113512317,سیب (کشاورزی),6,برگ
0113512318,گلابی (کشاورزی),6,برگ
0113512319,به (کشاورزی),6,برگ
0113512320,زالزالک (کشاورزی),6,برگ
0113512373,انار (کشاورزی),6,برگ
0113412321,انواع میوه هسته دار (کشاورزی),5,شاخه
0113512322,هلو (کشاورزی),6,برگ
0113512323,شلیل (کشاورزی),6,برگ
0113512324,شفتالو (کشاورزی),6,برگ
0113512325,گیلاس (کشاورزی),6,برگ
0113512326,آلبالو (کشاورزی),6,برگ
0113512327,آلو (کشاورزی),6,برگ
0113512328,آلوچه (کشاورزی),6,برگ
0113512329,زردآلو (کشاورزی),6,برگ
0113512330,گوجه سبز (کشاورزی),6,برگ
0113412331,انواع میوه گرمسیری و نیمه گرمسیری (کشاورزی),5,شاخه
0113512332,انجیر (کشاورزی),6,برگ
0113512333,موز (کشاورزی),6,برگ
0113512334,آناناس (کشاورزی),6,برگ
0113512335,خرما (کشاورزی),6,برگ
0113512336,آووکادو (کشاورزی),6,برگ
0113512337,انبه (کشاورزی),6,برگ
0113512338,پاپایا (کشاورزی),6,برگ
0113512374,عناب (کشاورزی),6,برگ
0113312339,انواع دانه آجیلی برای مصرف خوراکی (کشاورزی),4,شاخه
0113412340,بلوط و شاه بلوط برای مصرف خوراکی (کشاورزی),5,برگ
0113412341,بادام هندی برای مصرف خوراکی (کشاورزی),5,برگ
0113412342,گردو برای مصرف خوراکی (کشاورزی),5,برگ
0113412343,بادام برای مصرف خوراکی (کشاورزی),5,برگ
0113412344,پسته برای مصرف خوراکی (کشاورزی),5,برگ
0113412345,فندق برای مصرف خوراکی (کشاورزی),5,برگ
0113312346,گیاهان مورد استفاده جهت تولید نوشیدنی (کشاورزی),4,شاخه
0113412347,ماته (کشاورزی),5,برگ
0113412348,دانه قهوه (کشاورزی),5,برگ
0113412349,چای (کشاورزی),5,برگ
0113412350,گل گاو زبان (کشاورزی),5,برگ
0113412351,گل بابونه (کشاورزی),5,برگ
0113312352,گیاهان ادویه ای (کشاورزی),4,شاخه
0113412353,زعفران (کشاورزی),5,برگ
0113412354,فلفل سیاه (کشاورزی),5,برگ
0113412355,فلفل قرمز (کشاورزی),5,برگ
0113412356,فلفل پاپریکا (کشاورزی),5,برگ
0113412357,وانیل (کشاورزی),5,برگ
0113412358,دارچین (کشاورزی),5,برگ
0113412359,میخک (کشاورزی),5,برگ
0113412360,جوز (کشاورزی),5,برگ
0113412361,هل (کشاورزی),5,برگ
0113412362,رازیانه (کشاورزی),5,برگ
0113412363,بادیان و تخم بادیان (کشاورزی),5,برگ
0113412364,تخم گشنیز (کشاورزی),5,برگ
0113412365,انواع زیره (کشاورزی),5,برگ
0113412366,تخم سرو کوهی (کشاورزی),5,برگ
0113412367,تخم مرزه (کشاورزی),5,برگ
0113412368,زنجبیل (کشاورزی),5,برگ
0113412369,زردچوبه (کشاورزی),5,برگ
0113412370,آویشن (کشاورزی),5,برگ
0113412371,کاری (کشاورزی),5,برگ
0113412372,برگ بو (کشاورزی),5,برگ
0121,پرورش و نگهداری گاو، گوسفند، اسب، الاغ، قاطر، شبه اسب و قاطر پوزکی، تولید شیر خام,3,شاخه
0121312301,پرورش دام به جز شترسانان,4,شاخه
0121412302,الاغ زنده (دامپروری),5,برگ
0121412303,قاطر  (دامپروری),5,برگ
0121412304,استر  (دامپروری),5,برگ
0121412305,گوسفند  (دامپروری),5,شاخه
0121512306,گوسفند پشمی (دامپروری),6,برگ
0121512307,گوسفند گوشتی (دامپروری),6,برگ
0121512308,گوسفند شیری (دامپروری),6,برگ
0121412309,گاو (دامپروری),5,شاخه
0121512310,گاو گوشتی (دامپروری),6,برگ
0121512311,گاو شیری (دامپروری),6,برگ
0121412312,بز  (دامپروری),5,شاخه
0121512313,بز شیری (دامپروری),6,برگ
0121512314,بز پشمی (دامپروری),6,برگ
0121412315,میش زنده (دامپروری),5,شاخه
0121512316,میش شیری (دامپروری),6,برگ
0121512317,میش پشمی (دامپروری),6,برگ
0121412318,اسب (دامپروری),5,شاخه
0121512319,اسب سوارکاری (دامپروری),6,برگ
0121512320,اسب باربری (دامپروری),6,برگ
0121312321,محصولات خام دامی به جز محصولات خام شترسانان,4,شاخه
0121412322,پشم و موی حاصل از دام توسط دامدار,5,برگ
0121412323,کود خام به جز کود خام شترسانان,5,شاخه
0121512324,کود خام اسبی,6,برگ
0121512325,کود خام گاوی,6,برگ
0121512326,کود خام گوسفندی,6,برگ
0121512327,کود خام مخلوط,6,برگ
0121412328,شیر خام به جز شیر خام شترسانان,5,شاخه
